#deck:Opensource Observability Labs::Phase 1 - Foundations::01-prometheus-fundamentals
#separator:Comma
#columns:Front,Back,Tags
"You deploy a new microservice and create a ServiceMonitor CRD. Nothing appears in Prometheus Targets after 5 minutes. What are the first three things you check?","1) ServiceMonitor selector matches a real Service label: kubectl describe servicemonitor <name>. 2) serviceMonitorSelectorNilUsesHelmValues is false — if true, Prometheus only discovers ServiceMonitors with the label release: kube-prometheus-stack. 3) The Service has healthy Endpoints (pods are Ready): kubectl get endpoints <service> -n <namespace>. If endpoints are empty, the pods are not Ready and there is nothing for the Operator to generate a scrape target from.","demo01,servicemonitor,operator,troubleshooting"
"You query http_requests_total in Prometheus and get 482931. Is this useful for alerting? What should you use instead?","No — a raw counter is a monotonically increasing cumulative total since process start. It tells you nothing about current rate and cannot have a meaningful alert threshold. Use rate(http_requests_total[5m]) to get a per-second rate over the last 5 minutes, or increase(http_requests_total[1h]) for total new requests in an hour. rate() handles counter resets (pod restarts) automatically.","demo01,counter,promql,rate"
"A colleague proposes adding user_id as a Prometheus label to track per-user request rates. You have 80,000 active users. What happens and what is the correct approach?","With user_id as a label on http_requests_total across 5 services, 4 HTTP methods, 6 status codes: 5 × 4 × 6 × 80,000 = 9,600,000 time series from one metric. At ~3 KB RAM per series in the head block: ~29 GB RAM. Prometheus OOMKills. Correct approach: per-user tracking belongs in logs (Loki) or distributed traces (Tempo) — both handle high-cardinality event data. Prometheus is for low-cardinality aggregate metrics. Rule: if you cannot enumerate every possible label value, it does not belong in Prometheus.","demo01,cardinality,labels,production"
"What is the difference between scrape_interval and evaluation_interval? What breaks if evaluation_interval is set shorter than scrape_interval?","scrape_interval: how often Prometheus sends HTTP GET /metrics to each target (data collection). evaluation_interval: how often Prometheus runs all alerting and recording rules against stored data (alert detection). They are independent clocks. If evaluation_interval (e.g. 5s) is shorter than scrape_interval (e.g. 60s), rules evaluate against stale data for 55 of every 60 seconds. Alert firing latency is still governed by scrape_interval. Recording rules produce repeated identical values. Best practice: set both equal at 15s.","demo01,scrape-interval,evaluation-interval,configuration"
"You run helm uninstall kube-prometheus-stack -n monitoring. Later you try to reinstall and get a PVC conflict. Why?","Helm intentionally does not delete PVCs on uninstall — this protects TSDB data during chart upgrades (a rolling upgrade would otherwise destroy metric history). After helm uninstall you must manually run: kubectl delete pvc -n monitoring --all. Then kubectl delete namespace monitoring if doing a full cleanup. Always do this in demo environments; in production, decide deliberately whether to preserve the TSDB data before deleting PVCs.","demo01,pvc,cleanup,helm"
"Why does Prometheus scrape pod IPs directly rather than the Service ClusterIP?","If Prometheus scraped the Service ClusterIP, kube-proxy would load-balance each scrape to a random pod. Scrape 1 might hit pod A, scrape 2 pod B, scrape 3 pod A again. The resulting time series would mix data from different pods — useless for per-pod metrics and confusing for aggregation. By scraping pod IPs directly (obtained from the Kubernetes Endpoints API via the Operator), each time series is a consistent, continuous stream from exactly one pod.","demo01,scraping,pod-ip,operator"
"What does serviceMonitorSelectorNilUsesHelmValues: false do and why is it set in this demo?","When true (default): Prometheus only discovers ServiceMonitors that have the label release: kube-prometheus-stack (the Helm release name). Any ServiceMonitor without that label is silently ignored — the developer's service is never scraped and no error is shown. Setting false makes Prometheus discover ALL ServiceMonitors cluster-wide regardless of labels. This enables self-service monitoring: application teams create ServiceMonitors in their own namespaces without needing to know the Helm release name. RBAC on the servicemonitors resource controls access in production.","demo01,servicemonitorselector,configuration,operator"
"You look at the Prometheus Targets page and see kube-controller-manager, kube-etcd, and kube-scheduler all showing DOWN. Is this a problem? What is the root cause?","Not a problem — this is expected on Minikube. These control plane components bind their metrics ports to 127.0.0.1 (localhost on the Minikube VM). Prometheus runs inside a pod and cannot reach 127.0.0.1 on the host node — from the pod's network namespace, 127.0.0.1 is the pod itself. All 25 demos in this series work correctly without these three targets. Fix is optional: SSH into the Minikube VM and change --bind-address=127.0.0.1 to 0.0.0.0 in the static pod manifests.","demo01,minikube,control-plane,targets"
"A histogram metric http_request_duration_seconds_bucket is showing in /metrics. How do you calculate p99 latency from it in PromQL?","histogram_quantile(0.99, sum by (le)(rate(http_request_duration_seconds_bucket[5m]))). The steps: rate() converts cumulative bucket counters to per-second rates over the window. sum by (le) aggregates across all pod instances while keeping the le bucket boundary label (required by histogram_quantile). histogram_quantile(0.99, ...) interpolates between bucket boundaries to estimate the value below which 99% of requests fall. Design bucket boundaries to bracket your SLO threshold for accurate interpolation.","demo01,histogram,p99,promql"
"What is the TSDB write path? Trace a scraped metric from HTTP response to disk block.","1. Prometheus sends HTTP GET /metrics to the target. 2. Target returns OpenMetrics text format. 3. Prometheus parses the response into a raw sample list in memory. 4. Each sample is appended to the WAL (Write-Ahead Log) immediately — sequential write, provides crash safety. 5. Samples are stored in the in-memory head block (covers ~2 most recent hours). 6. Every 2 hours, the head block is flushed to disk as a new immutable block with chunks + index + metadata. 7. Background compaction merges small blocks progressively: 2h → 6h → 24h → 48h. 8. Blocks older than retention.time are deleted.","demo01,tsdb,write-path,storage"
"When should you use Pushgateway instead of the standard Prometheus pull model?","Three scenarios where pull fails: 1) Short-lived batch jobs — a Kubernetes Job that runs for 45 seconds may complete between 15-second scrapes, never captured. Job pushes metrics to Pushgateway on completion; Prometheus scrapes Pushgateway on schedule. 2) Ephemeral workloads with no stable network address — AWS Lambda runs for 50ms with no fixed IP; Prometheus cannot reach it. 3) Strict network isolation — app is in a private subnet with no inbound access to Prometheus. Warning: Pushgateway has no TTL by default — always delete metrics via the Pushgateway API when the job completes.","demo01,pushgateway,pull-model,batch-jobs"
"What is the promtool duplicate rule warning you see on a fresh kube-prometheus-stack install and should you fix it?","The warning: 'lint error 1 duplicate rule(s) found. Metric: code_verb:apiserver_request_total:increase1h'. This is a known upstream issue in the chart-bundled PrometheusRule files — the same recording rule exists twice across different rule groups in the chart. It is a lint warning only; Prometheus loads all rules successfully. It does not affect any demo functionality. Your own custom rules will pass promtool cleanly. Check the prometheus-community/helm-charts GitHub issues for current fix status. Do not suppress promtool in CI because of this — it will be fixed upstream.","demo01,promtool,known-issue,bundled-rules"
